"X","Status"
1,"(retired  - do not use) Demand Dose"
2,"(retired - do not use) Basal Rate"
3,"(retired - do not use) Lockout"
4,"(retired - do not use) Med Concentration"
5,"% Eaten Food 1"
6,"% Eaten Food 2"
7,"% Eaten Food 3"
8,"% Eaten Food 4"
9,"% Eaten Food 5"
10,"% Eaten Food 7"
11,"% eaten food 8"
12,"% Eaten Food 9"
13,"% Eaten Food Item 10"
14,"% Food Item 6"
15,"% Leak"
16,"% Relief (med/treat)"
17,"$ SpO2 on room air at rest (%)"
18,"$1 (list quantity)"
19,"$10 (list quantity)"
20,"$20 (list quantity)"
21,"$5 (list quantity)"
22,"1. Walking around the house"
23,"10. Walking across a parking lot"
24,"16. Walking on slippery floors"
25,"2. Walking up and down stairs"
26,"3. Picking up slipper/something from the floor"
27,"4. Reaching at your eye level"
28,"5. Reaching while on your tiptoes"
29,"6. Reaching while standing on a chair"
30,"7. Sweeping the floor"
31,"8. Walking outside to a nearby car"
32,"9. Getting in/out of a car/transport"
33,"ABP Mean"
34,"Access Pressure (mmHg)"
35,"Afterload Reduction (Unassisted Diastole - Assisted Diastole)"
36,"Air Flow rate (L/min)"
37,"Air FR Avance (l/min)"
38,"Airway Resp Rate"
39,"Albumin"
40,"Aldrete Score"
41,"Amount Given (mg or mcg)"
42,"AMPAC Basic Mobility Total Score"
43,"AMPAC DAILY ACTIVITY"
44,"Animals named  (3 pts)"
45,"Anxiety"
46,"Apnea Interval"
47,"Apnea Intrvl"
48,"Apnea Set Rate"
49,"Apnea Vol"
50,"Arctic Sun Water Temp"
51,"ART Line BP Mean"
52,"ART Mean"
53,"Arterial BP Mean"
54,"Arterial Volume"
55,"ASA"
56,"Attempts"
57,"Avance Primary Agent 1=Iso 3= None 5=Des 6=Sevo"
58,"AVAPS IPAP Maximim"
59,"AVAPS IPAP Minimum"
60,"Average"
61,"Average VT at 30 min"
62,"Average VT at 5 min"
63,"Balance problems or dizzy"
64,"BASDAI SCORE"
65,"BE"
66,"Becoming easily annoyed or irritable"
67,"Being so restless that it is hard to sit still"
68,"Bias Flow"
69,"BIS"
70,"Bladder Irrigation Input (mL)"
71,"Bladder Scan Amount"
72,"Blood Flow Rate (BFR)"
73,"BMI"
74,"BMI (Calculated)"
75,"BMI (kg/m2)"
76,"Body Mass Index"
77,"BP (Manual)"
78,"BP Mean"
79,"Braden Score (if 18 or less, address risk in care planning)"
80,"Breast Feeding Duration"
81,"BSA (Calculated - sq m)"
82,"BVP (Blood Volume Processed)"
83,"Catheter Balloon Size (mL)"
84,"Catheter Length (cm)"
85,"CBG (read only - retired row)"
86,"CCI (continuous cardiac index)"
87,"CCO (continuous cardiac output)"
88,"Cdyn/kg"
89,"Cell Saver  In"
90,"Centimeters exposed"
91,"CFSS"
92,"Change (total value)"
93,"Chest Pain Response To Intervention (Rating 0-10)"
94,"Chest Tube Output (mL)"
95,"Chlorine/Chloramine Level"
96,"CI (cardiac index)"
97,"Circuit O2"
98,"Cisatracurium Volume (mL)"
99,"Clinician Bolus Given (mcg)"
100,"Clinician Bolus Given (mg)"
101,"Cm H2O Suction"
102,"cm to Hub"
103,"CMT (OD):"
104,"CMT (OS):"
105,"CO (cardiac output)"
106,"Comfort/acceptable pain level/pain goal"
107,"Constipation"
108,"Continuous Dose (mcg/hr)"
109,"Continuous Dose (mg/hr)"
110,"CPAP"
111,"CPP (cerebral perfusion pressure)"
112,"Critical-Care Pain Observation Score"
113,"Cstat/kg"
114,"CT 1 (if seperated) Output (mL)"
115,"CT 2 (if seperated) Output (mL)"
116,"CT 3 (if seperated) Output (mL)"
117,"Cumulative 24 hr Total (mg or mcg)"
118,"Current FIO2 (%)"
119,"CVP"
120,"CVP Mean"
121,"Cycle %"
122,"Day of week  (1 pt)"
123,"Days since surgery"
124,"DBW"
125,"Delivered"
