"X","Status"
2,"AMB IMC SLUMS QUESTION 1"
3,"AMB IMC SLUMS QUESTION 10"
4,"AMB IMC SLUMS QUESTION 2"
5,"AMB IMC SLUMS QUESTION 3"
6,"AMB IMC SLUMS QUESTION 4"
7,"AMB IMC SLUMS QUESTION 5"
8,"AMB IMC SLUMS QUESTION 6"
9,"AMB IMC SLUMS QUESTION 7"
10,"AMB IMC SLUMS QUESTION 9"
11,"AMB R AQ AUDIT ADDITIONAL TOTAL"
12,"AMB R AQ DAST TOTAL"
13,"AMB R AUA BPH TOTAL SYMPTOM SCORE"
14,"AMB R CAR BIVAD DOPPLER PRESSURE"
15,"AMB R CAR HCM CARDIAC MRI LVEF"
16,"AMB R CAR HCM ECHO E"
17,"AMB R CAR HCM ECHO E'"
18,"AMB R CAR HCM ECHO EF"
19,"AMB R CAR HCM ECHO LA VOLUME"
20,"AMB R CAR HCM ECHO PWTD"
21,"AMB R CAR HCM HOLTER RHYTHM"
22,"AMB R CAR HCM LA DIMENSION"
23,"AMB R CAR HCM PROVOKED GRADIENT"
24,"AMB R CAR HCM RESTING GRADIENT"
25,"AMB R CAR HEARTWARE PULSATILITY"
26,"AMB R CAR HEARTWARE PULSATILITY TROUGH"
27,"AMB R CAR REHAB HOME EXERCISE TIME"
28,"AMB R CAR REHAB NUSTEP INTENSITY AVERAGE WATTS"
29,"AMB R CAR REHAB TREADMILL INTENSITY MPH"
30,"AMB R CEI HVF OS MD"
31,"AMB R CEI HVF OS PSD"
32,"AMB R CEI OCT OD CENTRAL MACULAR THICKNESS"
33,"AMB R CEI OCT OS CENTRAL MACULAR THICKNESS"
34,"AMB R FIRM SURFACE TANDEM EYES"
35,"AMB R HEARTMATE II DOPPLER MANUAL"
36,"AMB R HEARTMATE II DOPPLER PRESSURE MANUAL"
37,"AMB R IIQ-7 SCORE"
38,"AMB R IMC OPIOID TOTAL SCORE"
39,"AMB R IMC STEADI FALLS PAST YEAR"
40,"AMB R IMC STEADI SELF RISK TOTAL SCORE"
41,"AMB R NEURO ABC SCALE GETTING IN/OUT OF A CAR/TRANSPORT"
42,"AMB R NEURO ABC SCALE PICKING UP SOMETHING FROM THE FLOOR"
43,"AMB R NEURO ABC SCALE REACHING AT YOUR EYE LEVEL"
44,"AMB R NEURO ABC SCALE REACHING WHILE ON YOUR TIPTOES"
45,"AMB R NEURO ABC SCALE REACHING WHILE STANDING ON A CHAIR"
46,"AMB R NEURO ABC SCALE SWEEPING THE FLOOR"
47,"AMB R NEURO ABC SCALE TOTAL SCORE"
48,"AMB R NEURO ABC SCALE WALKING ACROSS A PARKING LOT"
49,"AMB R NEURO ABC SCALE WALKING AROUND THE HOUSE"
50,"AMB R NEURO ABC SCALE WALKING ON SLIPPERY FLOORS"
51,"AMB R NEURO ABC SCALE WALKING OUTSIDE TO A NEARBY CAR"
52,"AMB R NEURO ABC SCALE WALKING UP AND DOWN STAIRS"
53,"AMB R ORTHO GLOBAL PERIOD CALC"
54,"AMB R PHQ2 TOTAL"
55,"AMB R REH AMPAC BASIC MOBILITY TOTAL SCORE"
56,"AMB R REH AMPAC DAILY ACTIVITY TOTAL SCORE"
57,"AMB R REH NECK DIS/IMPAIR FROM SUM MCID 18%"
58,"AMB R REH QUICK DASH MANUAL SCORE"
59,"AMB R REH SPPB BALANCE SCORE"
60,"AMB R REH SPPB TOTAL SCORE"
61,"AMB R REHAB LEFS % FUNC LEVEL FROM SUM"
62,"AMB R REHAB NECK DISABILITY INDEX TOTAL"
63,"AMB R REHAB OSWESTRY % DIS/IMPAIR FROM SUM MCID"
64,"AMB R REHAB QUESTIONNAIRE TOTAL"
65,"AMB R SCAT BALANCE PROBLEMS OR DIZZY"
66,"AMB R SCAT DIFFICULTY REMEMBERING"
67,"AMB R SCAT DON'T FEEL RIGHT"
68,"AMB R SCAT DROWSINESS"
69,"AMB R SCAT FEELING DINGED OR DAZED"
70,"AMB R SCAT FEELING IN A FOG"
71,"AMB R SCAT FEELING SLOWED DOWN"
72,"AMB R SCAT HEARING PROBLEMS/RINGING IN EARS"
73,"AMB R SCAT MORE EMOTIONAL THAN USUAL"
74,"AMB R SCAT SENSITIVITY TO NOISE"
75,"AMB R SCAT SLEEPING MORE THAN USUAL"
76,"AMB R SCAT TOTAL SYMPTOM SCORE"
77,"AMB R SCAT VISION PROBLEMS"
78,"AMB R SHIM TOTAL"
79,"AMB R SYMPTOM ASSESSMENT CONSTIPATION"
80,"AMB R TXC FRAILTY SCORE EXHAUSTION"
81,"AMB R TXC FRAILTY SCORE LOW ACTIVITY"
82,"AMB R TXC FRAILTY SCORE SLOW SPEED WALKING"
83,"AMB R TXC FRAILTY SCORE WEAKNESS"
84,"ANE R ABP MEAN"
85,"ANE R ART MEAN"
86,"ANE R IBW"
87,"ANE R PAP MEAN"
88,"ANE R TV TIMES 6"
89,"ANE R TV TIMES 8"
90,"AUDIT TOTAL"
91,"AVERAGE"
92,"BASDAI SCORE"
93,"BEACON PATIENT ACUITY"
94,"BMI -T"
95,"BMI STK"
96,"CARD - PACEMAKER - PACER: RATE"
97,"CPM F09 ROW AS SC BRADEN SCORE (IF 18 OR LESS ACTIVATE PRESSURE ULCER, RISK GUIDELINE)"
98,"CPM F09 ROW AS SC PAIN FLACC SCORE: ACTIVITY"
99,"CPM S12 ROW AS BMI (KG/M2).BODY MEASUREMENTS (ADULT, OB, PEDIATRIC)"
100,"CPM S12 ROW AS OXYGEN CONCENTRATION (%) 2"
101,"CPM S12 ROW AS PR INTERVAL (SEC).ECG (ADULT, OB, PEDIATRIC)"
102,"CPM S12 ROW AS PREDICTED LEVEL (ML) (INCENTIVE SPIROMETER) (ADULT, OB, PEDIATRIC)"
103,"CPM S12 ROW AS QRS INTERVAL (SEC).ECG (ADULT, OB, PEDIATRIC)"
104,"CPM S12 ROW AS QT INTERVAL (SEC).ECG (ADULT, OB, PEDIATRIC)"
105,"CPM S12 ROW AS SC ALDRETE SCORE (ADULT, OB, PEDIATRIC)"
106,"CPM S12 ROW AS SC PAINAD SCORE (ADULT, OB)"
107,"CPM S12 ROW AS SC SCORE (GLASGOW COMA SCALE) (ADULT, OB)"
108,"CPM S12 ROW INV CHEST PAIN RESPONSE TO INTERVENTION (RATING 0-10) (ADULT, OB, PEDIATRIC)"
109,"CPM S12 ROW INV KNEE EXTENSION SETTING (DEGREES).CPM (ADULT, OB, PEDIATRIC)"
110,"CPM S12 ROW INV KNEE FLEXION SETTING (DEGREES).CPM (ADULT, OB, PEDIATRIC)"
111,"CPM S12 ROW INV LEVEL (ML) (INCENTIVE SPIROMETER) (ADULT, OB, PEDIATRIC)"
112,"CPM S12 ROW INV NUMBER OF REPETITIONS X (INCENTIVE SPIROMETER) (ADULT, OB, PEDIATRIC)"
113,"CPM S12 ROW PRO ACCEPTABLE COMFORT LEVEL (ADULT, OB, PEDIATRIC, SSP)"
114,"CPM S12 ROW PRO NUMBER OF STAIRS TO ENTER HOME (ADULT, PEDIATRIC)"
115,"CPM S12 ROW PRO NUMBER OF STAIRS WITHIN HOME (ADULT, PEDIATRIC)"
116,"DIZZINESS HANDICAP INVENTORY TL SCR"
117,"EMESIS"
118,"ENJOYMENT OF LIFE"
119,"FEELING BAD ABOUT YOURSELF - OR THAT YOU ARE A FAILURE OR HAVE LET YOURSELF OR YOUR FAMILY DOWN"
120,"FEELING DOWN, DEPRESSED OR HOPELESS"
121,"FEELING TIRED OR HAVING LITTLE ENERGY"
122,"FRIDAY (MG)"
123,"GAD BECOMING EASILY ANNOYED OR IRRITABLE"
124,"GAD BEING SO RESTLESS THAT IT IS HARD TO SIT STILL"
125,"GAD FEELING AFRAID / SOMETING AWFUL MAY HAPPEN"
126,"GAD FEELING NERVOUS, ANXIOUS"
127,"GAD HAVING TROUBLE RELAXING"
128,"GAD NOT ABLE TO STOP/CONTROL WORRYING"
129,"GAD TOTAL SCORE"
130,"GAD WORRYING TOO MUCH"
131,"GENERAL ACTIVITY"
132,"GI - ENEMA - VOLUME (ML)"
133,"HEM DURATION13"
134,"HEM DURATION6"
135,"HEM DURATION7"
