"x","Status"
1,""
2,"(THC) MARIJUANA, URINE POC"
3,"% BOUND PHENYTOIN"
4,"% MIXED CELLS"
5,"% RECOVERY"
6,"% SATURATION TRANSFERRIN"
7,"% SATURATION TRANSFERRIN, SERUM"
8,"027-NAP1-BI STRAIN"
9,"1 HOUR GLUCOSE"
10,"1 HOUR GLUCOSE - 2GT"
11,"1 HOUR GLUCOSE HX"
12,"1-METHYLHISTIDINE PLASMA"
13,"11 MIX, 0 MINUTES"
14,"11 MIX, 60 MINUTES"
15,"11-HYDROXY-DELTA-9-THC CONFIRM"
16,"17 OH PREGNENOLONE"
17,"2 HOUR GLUCOSE"
18,"2 HOUR GLUCOSE HX"
19,"2 VIEW RVG, LIMITED"
20,"3 HOUR GLUCOSE HX"
21,"3 VIEW RVG, COMPLETE"
22,"3-METHYLHISTIDINE PLASMA"
23,"3-OH-COTININE"
24,"3-OH-COTININE, URINE"
25,"5-HIAA"
26,"5-HIAA (MG/GCR)"
27,"5-HIAA CONCENTRATION"
28,"6-ACETYLMORPHINE QUAL CONFIRM"
29,"9-CARBOXY-DELTA-9-THC CONFIRM"
30,"A-AMINOBUTYRIC ACID, PLAS"
31,"A. CLAVATUS"
32,"A. FLAVUS (GR#2)"
33,"A. FUMIGATUS (B2)"
34,"A. FUMIGATUS PPT (GREER #6)"
35,"A. FUMIGATUS(GR #1)"
36,"A. FUMIGATUS(GR #2)"
37,"A. NIDULANS"
38,"A. NIDULANS(GR#2)"
39,"A. NIGER"
40,"A. NIGER(GREER#2)"
41,"A. PULLULANS"
42,"A. TERREUS"
43,"A. VERSICOL(GR#1)"
44,"A. VERSICOL(GR#2)"
45,"A/G RATIO"
46,"AB TO EARLY AG"
47,"AB TO NUCLEAR AG"
48,"AB TO VCA IGM"
49,"ABD ACUTE 3 VIEWS & PA CHEST"
50,"ABD LTD FEEDING TUBE EVAL"
51,"ABD TUBE OR CATH EVAL FLUORO"
52,"ABD TUBE OR CATH EVAL W/O CONTRAST"
53,"ABDOMEN W ERECT VWS"
54,"ABDOMEN, 1 VIEW (KUB)"
55,"ABDOMEN, 1 VIEW, PORTABLE"
56,"ABDOMEN, 2 VIEWS"
57,"ABDOMEN, 2 VIEWS, PORTABLE"
58,"ABDOMEN, 2 VIEWS, W/PA CHEST"
59,"ABDOMEN, 3 VIEWS, W/DECUBITIS"
60,"ABG MV"
61,"ABG PCO2"
62,"ABG PULSE OXIMETER"
63,"ABN PROTEIN BAND 1 (SPE)"
64,"ABO GROUP"
65,"ABSCESS BODY DRAINAGE"
66,"ABSOLUTE EOSINOPHIL COUNT"
67,"ABSOLUTE NEUTROPHIL COUNT"
68,"ACANTHAMOEBA"
69,"ACANTHOCYTES"
70,"ACETAMINOPHEN"
71,"ACT, POC"
72,"ACTH, PLASMA"
73,"ACYL CARNITINE"
74,"ACYL/FREE RATIO"
75,"ADDITIONAL CELLS"
76,"ADDITIONAL DILUTION"
77,"ADENOVIRUS AB"
78,"ADENOVIRUS PCR"
79,"ADENOVIRUS PCR CSF"
80,"AFP MATERNAL SERUM"
81,"AFP TUMOR MARKER SERUM, OHSU"
82,"AFP TUMOR MARKER, SERUM"
83,"AFP/E3/HCG SCREEN"
84,"AFPA GEST AGE, WEEKS"
85,"AFPA PT. MOM"
86,"AFPA, GESTATIONAL AGE, DAYS"
87,"AFPA, PATIENT RESULT"
88,"AFPM, GEST. AGE, DAYS"
89,"AFPM, PT. MOM"
90,"AG 2 RESULT"
91,"AG 5 RESULT"
92,"AG 6 RESULT"
93,"ALANINE PLASMA"
94,"ALANINE SIN QT PLASMA"
95,"ALBUMIN"
96,"ALBUMIN %, SPEP"
97,"ALBUMIN %, URINE - UPEP"
98,"ALBUMIN EXCRETION RATE"
99,"ALBUMIN INDEX"
100,"ALBUMIN URINE, RANDOM"
101,"ALBUMIN, BODY FL"
102,"ALBUMIN, BODY FLUID"
103,"ALBUMIN, CSF"
104,"ALBUMIN, SERUM"
105,"ALBUMIN, SERUM - SPEP"
106,"ALBUMIN, URINE - UPEP"
107,"ALBUMIN/CREAT RATIO, URINE"
108,"ALDOLASE SERUM"
109,"ALDOSTERONE"
110,"ALK PHOS"
