"R_Med_Tests","Units","Min","First_Q","Median","Mean","Third_Q","Max","Total_Data_Points","Num_Outlier","Outlier_Per"
"POTASSIUM","mmol/L",1.25,3.7,4,4.06864444843694,4.3,10.2,11132,462,0.0415
"SODIUM","mmol/L",116,136,138,138.035829716502,140,158,10829,400,0.0369
"CHLORIDE","mmol/L",11,101,104,103.52976744186,107,132,10750,294,0.0273
"CREATININE","mg/dL",0.1,0.67,0.85,1.11857599844901,1.16,21.2,10316,916,0.0888
"CALCIUM","mg/dL",4.2,8.2,8.8,8.74554744525547,9.3,19.5,10275,61,0.0059
"BUN","mg/dL",1,11,15,19.3936034533503,23,180,10193,813,0.0798
"CO2","mmol/L",11,25,27,26.930396302488,29,45,10169,252,0.0248
"GLUCOSE, PLASMA","mg/dL",33,94,108,119.351092221014,131,715,10117,609,0.0602
"HEMATOCRIT","%",1.6,28.4,33.3,33.3182581648523,38.1,57.3,9645,6,6e-04
"BLOOD GLUCOSE, POC","mg/dL",26,111,134,142.892251815981,162,500,9086,419,0.0461
"HEMOGLOBIN","g/dL",4.3,9.4,11,11.1168215859031,12.8,42.5,9080,5,6e-04
"MCHC","g/dL",16,32.5,33.4,33.1870384917518,34.1,39.3,8911,248,0.0278
"WHITE CELL COUNT","K/cu mm",0.1,5.5,7.6,8.7653606741573,10.8,71.5,8900,408,0.0458
"PLATELET COUNT","K/cu mm",4,164,223,243.083004842888,298,1281,8879,347,0.0391
"MCV","fL",30.6,87.1,91,91.1677750225428,95,126.5,8872,314,0.0354
"RED CELL COUNT","M/cu mm",1.4,3.1125,3.65,3.66881667831353,4.2,6.2,8586,11,0.0013
"ALBUMIN","g/dL",0.6,2.6,3.3,3.13189844851904,3.7,6.7,7090,3,4e-04
"ANION GAP","mmol/L",1,6,8,7.86997565087095,9,22,5339,162,0.0303
"TOTAL BILIRUBIN","mg/dL",0.1,0.4,0.6,0.863847895829402,0.8,25.5,5299,354,0.0668
"ALT (SGPT)","U/L",4,19,26,47.9961933764751,42,1487,5254,571,0.1087
"TOTAL PROTEIN","g/dL",1.2,6.2,6.8,6.65833968012186,7.2,10.7,5252,248,0.0472
"AST (SGOT)","U/L",0.7,21,27,46.7905025797821,40,1975,5233,600,0.1147
"RDW","%",4,13.7,14.9,15.6082661290323,16.7,297,5208,201,0.0386
"ALK PHOS","U/L",0.6,60,80,104.790652048471,112,1369,5199,410,0.0789
"MPV","fL",5.4,8.7,9.6,9.51250739790886,10.5,14.3,5069,34,0.0067
"MAGNESIUM, PLASMA","mg/dL",0.5,1.7,1.9,1.95457746478873,2.1,4.5,4544,92,0.0202
"PHOSPHORUS, PLASMA","mg/dL",0.9,2.7,3.3,3.32845198279981,3.8,9.5,4186,104,0.0248
"LYMPHOCYTE %","%",0,11.3,19.5,21.4589627151052,28.8,97.9,4184,89,0.0213
"NEUTROPHIL #","K/cu mm",0,2.9,4.31,9.44240995890742,6.72,3634,4137,241,0.0583
"LYMPHOCYTE #","K/cu mm",0,0.8,1.2,2.78759063334142,1.8,1638,4121,117,0.0284
"NEUTROPHIL %","%",0,58.3,68,66.7475808412351,77.7,100,4113,99,0.0241
"INR","INR",0.81,1.08,1.24,1.60283458646617,1.82,12.25,3990,325,0.0815
"EOSINOPHIL %","%",0,0.5,1.6,2.1558120362737,3,37,3639,158,0.0434
"MONOCYTE #","K/cu mm",0,0.4,0.57,0.982098071625344,0.8,442,3630,164,0.0452
"BASOPHIL #","",0,0,0,0.063647042564953,0.05,35,3618,78,0.0216
"EOSINOPHIL #","K/cu mm",0,0,0.1,0.303306308799115,0.2,146,3614,144,0.0398
"MONOCYTE %","%",0,6,8.1,9.05336471891443,10.9,80.1,3611,136,0.0377
"BASOPHIL %","%",0,0,0.3,0.475491553586264,1,10,3611,27,0.0075
"RDW SD","fL",34.3,44.2,48.2,49.8525085518814,53.4,96.1,3508,157,0.0448
"ANION GAP (ALBUMIN CORRECTED)","mmol/L",2,8,10,10.0051399200457,12,35,3502,31,0.0089
"NRBC%","%",0,0,0,0.212399463806971,0,30.2,2984,429,0.1438
"NRBC#","K/cu mm",0,0,0,0.0198086606243706,0,7.41,2979,418,0.1403
"APTT","seconds",16.9,28.8,33.8,43.831504500643,48.6,195.3,2333,191,0.0819
"MCH","pg",21.2,28.9,30.5,30.454040895813,32.1,41.2,2054,59,0.0287
"EGFR NON AFRICAN-AMERICAN","mL/min",3,29,43,39.5389090909091,52,60,1375,0,0
"ATRIAL RATE","BPM",0,65,78,86.8904619970194,95,416,1342,87,0.0648
"VENTRICULAR RATE","BPM",37,65,76.5,81.526825633383,93,195,1342,47,0.035
"QRS DURATION","ms",32,82,90,94.2666666666667,98,206,1335,123,0.0921
"T AXIS","degrees",-161,23,44,50.1083521444695,68,269,1329,118,0.0888
"R AXIS","degrees",-90,-25,8.5,13.8795180722892,45,269,1328,29,0.0218
"PH (UR)","",1.01,5,6,5.98081804281346,6.5,9,1308,3,0.0023
"QT","ms",228,360,392,390.086391437309,420,576,1308,20,0.0153
"MEAS ICA, WHOLE BLOOD","mmol/L",0.21,1.07,1.14,1.1075974025974,1.2,7.3,1232,130,0.1055
"P-R INTERVAL","ms",55,144,160,163.87037037037,180,408,1188,31,0.0261
"P AXIS","degrees",-120,33,52,47.4970263381478,66,267,1177,47,0.0399
"PO2, ARTERIAL","mmHg",15,87,128,182.101449275362,265,636,1173,16,0.0136
"PCO2, ARTERIAL","mmHg",18,39,43,44.4773116438356,49,115,1168,43,0.0368
"HCO3, ARTERIAL","mmol/L",7,22.4,24.9,24.9135389888603,27.15,42,1167,68,0.0583
"O2 SAT, ARTERIAL","%",17.1,96.9,99,97.5370883882149,100,101,1154,89,0.0771
"PH, ARTERIAL","",6.93,7.32,7.37,7.3638855160451,7.42,7.63,1153,32,0.0278
"BASE EXCESS, ARTERIAL","",-19.6,-3.2,-0.4,-0.400445235975067,2.45,13.5,1123,30,0.0267
"SPECIFIC GRAVITY (UR)","",-1.005,1.01,1.015,1.01418337850045,1.02,1.057,1107,5,0.0045
