"x","Status"
1,""
2,"/100 WBC"
3,"/cu mm"
4,"/hpf"
5,"/HPF"
6,"/lpf"
7,"/LPF"
8,"%"
9,"% normal"
10,"% O2 Sat."
11,"% Ref Std/Class"
12,"%Index"
13,"%PCV"
14,"%Saturation"
15,"10"
16,"10*3/uL"
17,"10*6/uL"
18,"10^12/L"
19,"10^3 / uL"
20,"10^3/uL"
21,"10^6 / uL"
22,"10^6/uL"
23,"100"
24,"10X3"
25,"ARU"
26,"AU"
27,"AU/ml"
28,"AU/mL"
29,"Bands"
30,"Bethesda Units"
31,"bpm"
32,"BPM"
33,"br/min"
34,"CELLS/uL"
35,"cfu/ml"
36,"cfu/mL"
37,"Cfu/ml"
38,"Cfu/mL"
39,"CFU/mL"
40,"Class"
41,"copies/ mL"
42,"copies/ml"
43,"copies/mL"
44,"Copies/mL"
45,"cP"
46,"cpy/ml"
47,"cpy/mL"
48,"cu mm"
49,"days"
50,"deg"
51,"Degree C"
52,"degrees"
53,"Dil."
54,"DNA copies/mL"
55,"E.U./dL"
56,"EHRLICH"
57,"EHRLICH UNITS"
58,"EIA units"
59,"EIA Units"
60,"EU"
61,"EV"
62,"fl"
63,"fL"
64,"g"
65,"g/24 h"
66,"g/24hrs"
67,"g/col time"
68,"g/col. time"
69,"g/col.time"
70,"g/dl"
71,"g/dL"
72,"G/DL"
73,"GIV"
74,"gm/dL"
75,"GPL"
76,"GPL-U/ml"
77,"h"
78,"hours"
79,"HPF"
80,"hr"
81,"Hr"
82,"HR"
83,"hrs"
84,"Hrs:mins"
85,"IgE(kU/L)"
86,"index"
87,"Index"
88,"INR"
89,"IntUnit/L"
90,"IU/L"
91,"IU/ml"
92,"IU/mL"
93,"IU/ML"
94,"IV"
95,"K/cu mm"
96,"k/cu mm3"
97,"K/mm^3"
98,"kU/L"
99,"L"
100,"L/min"
101,"L/S"
102,"L/sec"
103,"lbs"
104,"lines/intensity"
105,"Lines/Intensity"
106,"Liters"
107,"LIV"
108,"log"
109,"log IU"
110,"LPF"
111,"M/cu mm"
112,"M/mm^3"
113,"mcg/dL"
114,"MCG/DL"
115,"mcg/L"
116,"mcg/mL"
117,"MCG/ML"
118,"mcg/spec"
119,"mcIntUnit/mL"
120,"mcIU/mL"
121,"mcmol/L"
122,"mEq/L"
123,"MEQ/L"
124,"MG/24 HR"
125,"mg/24hr"
126,"mg/col.time"
127,"mg/d"
128,"mg/dl"
129,"mg/dL"
130,"MG/DL"
131,"mg/g"
132,"MG/G CR"
133,"mg/gm"
134,"mg/interval"
135,"mg/l"
136,"mg/L"
137,"mg/mg"
138,"mIU/L"
139,"mIU/ml"
140,"mIU/mL"
141,"MIU/ML"
142,"ml"
143,"mL"
144,"ML"
145,"mL/beat"
146,"mL/kg/min"
147,"mL/kgLBM/min"
148,"mL/mHg/min/L"
149,"ml/min"
150,"mL/min"
151,"mL/min/1.73 m2"
152,"mL/min/1.73m2"
153,"ML/MIN/MM HG"
154,"ML/MIN/MM HG/L"
155,"ml/min/mmHg"
156,"ml/min/mmHg/L"
157,"mL/mmHg/min"
158,"mm"
159,"MM"
160,"MM HG"
161,"mm/hr"
162,"MM/HR"
163,"mmHg"
164,"mmHG"
165,"mmol/24hrs"
166,"mmol/kg"
167,"mmol/L"
168,"mMOL/L"
169,"MMOL/L"
170,"mmol/m"
171,"MoM"
172,"mOsm/kg H20"
173,"mOsm/kg H2O"
174,"mOsm/Kg H2O"
175,"mOsm/kgH20"
176,"MPL-U/ml"
177,"ms"
178,"mU/l"
179,"mU/mL"
180,"ng/dl"
181,"ng/dL"
182,"NG/DL"
183,"ng/dL/hr"
184,"ng/ml"
185,"ng/mL"
186,"NG/ML"
187,"ngmLhr"
188,"nm"
189,"nmol/d"
190,"nmol/L"
191,"No Units"
192,"pg"
193,"pg/ml"
194,"pg/mL"
195,"PG/ML"
196,"PL Units"
197,"pmol/L"
198,"PRU"
199,"ratio"
200,"Ratio"
201,"RATIO"
202,"sec"
203,"SEC"
204,"sec."
205,"seconds"
206,"Seconds"
207,"SEE NOTE"
208,"titer"
209,"Titer"
210,"TITER"
211,"Transcutaneous Bilirubinometer"
212,"U / L"
213,"U/L"
214,"u/mL"
215,"U/ml"
216,"U/mL"
217,"ug"
218,"ug E/g stool"
219,"ug/Col Time"
220,"ug/d"
221,"ug/dl"
222,"ug/dL"
223,"ug/g"
224,"ug/g Creat"
225,"ug/g CRT"
226,"ug/G stool"
227,"ug/gCR"
228,"ug/interval"
229,"ug/L"
230,"ug/ml"
231,"ug/mL"
232,"UG/ML"
233,"ug/mL FEU"
234,"ug/mLFEU"
235,"ug/spec"
236,"ug/specimen"
237,"uIU/ml"
238,"uIU/mL"
239,"UIU/ML"
240,"uL"
241,"umol/L"
242,"umol/mol CRT"
243,"unit/mL"
244,"Units"
245,"Units/L"
246,"Units/mL"
247,"uU/mL"
248,"W"
249,"Watts"
250,"weeks"
251,"Weeks"
252,"X10 3"
253,"x10 3/UL"
254,"X10 3/ul"
255,"X10 3/uL"
256,"X10 6/uL"
257,"X10'3"
258,"x10'3/uL"
259,"X10'3^"
260,"X10'6"
261,"X10'6^"
262,"x10(3)/mcL"
263,"x10(6)/mcL"
